// Compost colors for productivefarming. You may add your own colors, change existing ones, or remove colors that aren't needed.
agave, #b8c59d
rainbow_corn, #d3d461
raspberry, #ffcfe0
red_bell_pepper, #ff4b4d
red_grape, #a55b50
red_grape_seeds, #949e66
redcurrant, #ffffff
rhubarb, #946837
rice, #f7ff3d
rice_seeds, #ffffff
roma_tomato, #e1481c
romain_lettuce, #6e9b19
romain_lettuce_seeds, #e6dc8d
rose_bush, #ffffff
rosemary, #86b844
rosemary_seeds, #cf933a
rutabaga, #bfb580
rutabaga_seeds, #b26551
rye, #daaa86
rye_seeds, #d7bea8
sage, #9dd082
sage_seeds, #3e3c39
salsify, #91a45b
salsify_seeds, #e8b46e
sarsaparilla, #464857
sarsaparilla_seeds, #eea766
sea_buckthorn, #ff8e25
sea_holly, #ffffff
shiitake, #ea9a5a
skullcap, #ffffff
sorghum, #b4734e
sorghum_seeds, #ffffc8
soy_bean, #fffbbc
spearmint, #91f446
spearmint_seeds, #15162f
spinach, #69a54e
spinach_seeds, #c8aa6b
spoon_gourd, #ffffee
spring_onion, #b6f2a8
spring_onion_seeds, #393a26
stinging_nettle, #ffffff
strawberry, #dd5e1f
sugar_beet, #b2b96b
sugar_beet_seeds, #e3b575
sugar_pearl_corn, #ffffed
sungold_tomato, #ff9b23
sweet_marjoram, #83d358
sweet_marjoram_seeds, #da875f
sweet_potato, #ffbc4e
tea, #9dc93d
tea_seeds, #c28d64
teff, #ffffa5
teff_seeds, #6b3d26
thyme, #cacc7c
thyme_seeds, #44221e
tobacco, #c9d252
tobacco_seeds, #b99465
tomatillo, #ffffff
torchflower, #f5ffff
tulip, #ffffff
turmeric, #d98958
turnip, #dee6b4
turnip_seeds, #863237
ulluco, #fff841
valerian_root, #ffffff
vanilla, #645757
vanilla_seeds, #292526
wasabi, #ccd050
wasabi_seeds, #eaf555
water_caltrop, #463628
water_chestnut, #915b48
watercress, #73be4d
watermint, #afdc54
watermint_seeds, #582f25
white_bell_pepper, #ffffff
white_wonder_tomato, #ffffff
wintergreen, #94904b
wither_rose, #ffffff
yam, #ffea9d
yellow_bell_pepper, #ffc204
yellow_dent_corn, #ddca47
yellow_pear_tomato, #ffff30
zinnia, #ffffff
zucchini, #ffffff
